,precision,recall,f1-score,support
premature ovarian failure,1.0,1.0,1.0,10.0
premature ventricular contractions (pvcs),0.9,0.9692307692307692,0.9333333333333333,65.0
premenstrual tension syndrome,1.0,1.0,1.0,27.0
presbyacusis,0.8888888888888888,0.7272727272727273,0.8,11.0
presbyopia,0.7380952380952381,0.7380952380952381,0.7380952380952381,42.0
primary immunodeficiency,1.0,1.0,1.0,7.0
primary insomnia,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
primary kidney disease,1.0,1.0,1.0,7.0
problem during pregnancy,0.8952879581151832,0.9344262295081968,0.9144385026737968,183.0
prostate cancer,0.8181818181818182,0.6666666666666666,0.7346938775510204,27.0
prostatitis,0.82,0.9044117647058824,0.8601398601398601,136.0
protein deficiency,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
pseudohypoparathyroidism,1.0,0.5,0.6666666666666666,2.0
pseudotumor cerebri,0.8888888888888888,0.8,0.8421052631578947,10.0
psoriasis,0.6703296703296703,0.6703296703296703,0.6703296703296703,182.0
psychosexual disorder,0.9411764705882353,0.9411764705882353,0.9411764705882353,34.0
psychotic disorder,0.47802197802197804,0.48333333333333334,0.48066298342541436,180.0
pterygium,0.7346938775510204,0.8372093023255814,0.782608695652174,43.0
pulmonary congestion,0.9183673469387755,0.9090909090909091,0.9137055837563451,99.0
pulmonary embolism,0.9388888888888889,0.9602272727272727,0.949438202247191,176.0
pulmonary eosinophilia,0.918918918918919,0.918918918918919,0.918918918918919,37.0
pulmonary fibrosis,0.6521739130434783,0.625,0.6382978723404256,24.0
pulmonary hypertension,0.9239130434782609,0.9550561797752809,0.9392265193370166,89.0
pulmonic valve disease,1.0,1.0,1.0,2.0
pyelonephritis,0.5471698113207547,0.6408839779005525,0.5903307888040712,181.0
pyloric stenosis,0.75,1.0,0.8571428571428571,3.0
pyogenic skin infection,0.9289617486338798,0.9340659340659341,0.9315068493150684,182.0
raynaud disease,0.0,0.0,0.0,2.0
reactive arthritis,0.0,0.0,0.0,2.0
rectal disorder,0.8743169398907104,0.8888888888888888,0.8815426997245179,180.0
restless leg syndrome,0.8360655737704918,0.8947368421052632,0.864406779661017,57.0
retinal detachment,0.4482758620689655,0.4642857142857143,0.45614035087719296,56.0
retinopathy due to high blood pressure,0.896551724137931,0.9285714285714286,0.9122807017543859,28.0
rhabdomyolysis,0.0,0.0,0.0,3.0
rheumatoid arthritis,0.9635036496350365,0.9705882352941176,0.967032967032967,136.0
rosacea,0.859375,0.8088235294117647,0.8333333333333334,136.0
rotator cuff injury,0.7916666666666666,0.8636363636363636,0.8260869565217391,22.0
salivary gland disorder,0.6875,0.9166666666666666,0.7857142857142857,12.0
sarcoidosis,0.9701492537313433,0.9848484848484849,0.9774436090225563,66.0
scabies,0.9473684210526315,0.972972972972973,0.96,37.0
scar,0.4777777777777778,0.8431372549019608,0.6099290780141844,51.0
scarlet fever,1.0,0.8333333333333334,0.9090909090909091,18.0
schizophrenia,0.5304878048780488,0.4887640449438202,0.5087719298245614,178.0
sciatica,0.9444444444444444,0.8880597014925373,0.9153846153846154,134.0
scleritis,0.875,0.7777777777777778,0.8235294117647058,9.0
scleroderma,0.8309859154929577,0.8676470588235294,0.8489208633093526,68.0
scoliosis,0.9696969696969697,0.9411764705882353,0.9552238805970149,34.0
seasonal allergies (hay fever),0.9602272727272727,0.9285714285714286,0.9441340782122905,182.0
sebaceous cyst,0.9333333333333333,0.9180327868852459,0.9256198347107438,183.0
seborrheic dermatitis,0.8421052631578947,0.8181818181818182,0.829971181556196,176.0
seborrheic keratosis,0.38,0.3275862068965517,0.35185185185185186,174.0
sensorineural hearing loss,0.8880597014925373,0.875,0.8814814814814815,136.0
sepsis,0.9534883720930233,0.9010989010989011,0.9265536723163842,182.0
septic arthritis,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
shingles (herpes zoster),0.9864864864864865,0.9605263157894737,0.9733333333333334,76.0
sialoadenitis,0.98,0.9607843137254902,0.9702970297029703,102.0
sick sinus syndrome,0.5,0.5,0.5,32.0
sickle cell anemia,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
sickle cell crisis,0.8763440860215054,0.8907103825136612,0.8834688346883469,183.0
sinus bradycardia,0.7821229050279329,0.7692307692307693,0.775623268698061,182.0
sjogren syndrome,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
skin cancer,0.6605504587155964,0.5454545454545454,0.5975103734439834,132.0
skin disorder,0.2777777777777778,0.37037037037037035,0.31746031746031744,135.0
skin pigmentation disorder,0.3413173652694611,0.3131868131868132,0.32664756446991405,182.0
skin polyp,0.24,0.2346368715083799,0.23728813559322035,179.0
smoking or tobacco addiction,0.9775280898876404,0.9830508474576272,0.9802816901408451,177.0
social phobia,0.7,0.6862745098039216,0.693069306930693,102.0
soft tissue sarcoma,0.7727272727272727,1.0,0.8717948717948718,34.0
somatization disorder,0.8888888888888888,1.0,0.9411764705882353,16.0
spermatocele,0.9411764705882353,1.0,0.9696969696969697,16.0
spina bifida,1.0,0.9375,0.967741935483871,16.0
spinal stenosis,0.6309523809523809,0.6597510373443983,0.6450304259634888,241.0
spondylitis,0.9204545454545454,0.9,0.9101123595505618,90.0
spondylolisthesis,0.8085106382978723,0.8444444444444444,0.8260869565217391,135.0
